d,	Density,	Ash,	Ti 
2.64,	0.019,		,17.76
3.80,	0.016,		,17.19
4.86,	0.015,		,8.07
5.98,	0.022,		,62.83
7.19,	0.065,	3.13	,163.52
8.45,	0.046,	3.38	,183.04
9.72,	0.109,	8.51	,616.9
11.0,	0.091,	5.38	,509.45
12.3,	0.145,	8.80	,638.17
13.7,	0.154,	9.83	,552.08
15.0,	0.144,	8.06	,455.24
16.3,	0.112,	4.34	,268.63
17.5,	0.094,	4.00	,220.17
18.8,	0.074,	3.77	,194.01
20.2,	0.096,	4.29	,239.11
21.5,	0.078,	4.14	,209.07
22.9,	0.108,	3.34	,216.05
24.2,	0.124,	3.76	,216.13
25.5,	0.112,	3.10	,203.8
26.7,	0.130,	3.16	,210.09
28.1,	0.109,	3.32	,195.94
29.4,	0.080,	3.06	,185.36
30.7,	0.102,	3.69	,173.88
32.0,	0.088,	4.22	,235.77
33.3,	0.101,	5.01	,280.33
34.5,	0.098,	2.97	,216.24
35.8,	0.093,	5.13	,283.33
37.1,	0.093,	2.55	,237.25
38.3,	0.082,	3.12	,200.66
39.6,	0.073,	2.29	,143.96
40.8,	0.072,	2.42	,284.23
42.1,	0.078,	5.69	,278.51
43.4,	0.065,	5.79	,262.49
44.8,	0.067,	2.24	,140.15
46.2,	0.074,	3.02	,178.51
47.6,	0.059,	2.43	,141.6
49.1,	0.092,	4.71	,321.07
50.5,	0.075,	3.25	,135.75
51.8,	0.054,	1.34	,113.04
53.1,	0.046,	1.36	,81.03
54.4,	0.050,	0.47	,42.04
55.8,	0.043,	0.88	,35.69
57.2,	0.085,	0.49	,164.48
58.5,	0.045,	0.10	,120.86
59.7,	0.048,	1.13	,90.25
60.9,	0.052,	2.16	,59.64
62.2,	0.075,	1.99	,206.92
63.5,	0.061,	2.05	,105.47
64.7,	0.058,	1.07	,37.11
65.8,	0.060,	0.62	,52.01
67.0,	0.059,	1.50	,87.03
68.4,	0.077,	1.32	,95.7
69.8,	0.078,	1.15	,87.45
71.1,	0.071,	1.21	,87.65
72.5,	0.064,	1.27	,87.85
74.1,	0.076,	1.10	,56.36
75.5,	0.075,	1.92	,161.03
76.9,	0.076,	6.22	,175.01
78.3,	0.084,	1.25	,120.37
79.7,	0.078,	1.40	,86.1
81.2,	0.040,	0.72	,11.43
82.6,	0.045,	0.69	,9.26
84.1,	0.057,	0.37	,18.8
85.4,	0.078,	0.96	,49.52
86.8,	0.081,	1.08	,70.92
88.2,	0.088,	1.63	,82.54
89.6,	0.085,	1.13	,79.15
91.0,	0.073,	1.36	,65.39
92.3,	0.057,	1.06	,44.82
93.7,	0.077,	1.45	,76.61
95.1,	0.058,	0.97	,22.05
96.4,	0.057,	0.48	,19.11
97.9,	0.054,	0.67	,32.77
99.4,	0.067,	0.17	,46.11
